FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"7,060,410,000",0.42,,,
FXJ,Fairfax Media Limited,Consumer Discretionary,"1,552,150,000",0.09,,,
GEM,G8 Education Limited,Consumer Discretionary,"1,197,170,000",0.07,,,
GMA,Genworth Mortgage,Financials,"1,094,510,000",0.07,,,
GMG,Goodman Group Stapled Securities FP,Real Estate,"15,180,400,000",0.91,,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,938,410,000",0.12,,,
GOZ,Growthpoint Property Unit/ Stapled Securities,Real Estate,"2,228,770,000",0.13,,,
GPT,GPT Group Stapled Securities FP,Real Estate,"8,555,180,000",0.51,,,
GTY,Gateway Lifestyle Stapled Securities,Real Estate,"596,847,000",0.04,,,
GUD,G.U.D. Holdings,Consumer Discretionary,"1,025,610,000",0.06,,,
GWA,GWA Group Limited,Industrials,"886,864,000",0.05,,,
GXL,Greencross Limited,Consumer Discretionary,"634,664,000",0.04,,,
GXY,Galaxy Resources,Materials,"1,205,850,000",0.07,,,
HSO,Healthscope Limited,Health Care,"3,366,330,000",0.2,,,
HVN,Harvey Norman,Consumer Discretionary,"4,111,360,000",0.25,,,
IAG,Insurance Australia,Financials,"17,709,100,000",1.06,,,
IFL,IOOF Holdings Limited,Financials,"3,573,950,000",0.21,,,
IFN,Infigen Energy Stapled Securities FP,Utilities,"558,125,000",0.03,,,
IGO,Independence Group,Materials,"2,699,390,000",0.16,,,
ILU,Iluka Resources,Materials,"4,421,480,000",0.26,,,
INM,Iron Mountain Incorp Cdi 1:1 Foreign Exempt NYSE,Real Estate,"2,065,730,000",0.12,,,
IOF,Investa Office Fund Stapled Securities,Real Estate,"2,579,190,000",0.15,,,
IPH,IPH Limited,Industrials,"671,096,000",0.04,,,
IPL,Incitec Pivot,Materials,"5,839,070,000",0.35,,,
IRE,Iress Limited,Information Technology,"1,631,480,000",0.1,,,
IVC,Invocare Limited,Consumer Discretionary,"1,429,290,000",0.09,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,965,140,000",0.18,,,
JHG,Janus Henderson Chess Depositary Interests,Financials,"3,760,320,000",0.22,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"10,097,700,000",0.6,,,
LLC,Lendlease Group Unit/ Stapled Securities,Real Estate,"10,108,800,000",0.6,,,
LNK,Link Admin HLDG,Information Technology,"4,107,830,000",0.25,,,
LYC,Lynas Corporation,Materials,"1,620,330,000",0.1,,,
MFG,Magellan Fin Group Limited,Financials,"4,200,870,000",0.25,,,
MGR,Mirvac Group Stapled Securities,Real Estate,"7,978,370,000",0.48,,,
MIN,Mineral Resources,Materials,"3,189,050,000",0.19,,,
MMS,Mcmillan Shakespeare,Industrials,"1,402,000,000",0.08,,,
MND,Monadelphous Group,Industrials,"1,428,940,000",0.09,,,
MPL,Medibank Private Limited,Financials,"7,986,610,000",0.48,,,
MQA,MACQ Atlas Roads Group Ordinary Stapled Securities,Industrials,"3,871,380,000",0.23,,,
MQG,Macquarie Group Limited,Financials,"35,023,500,000",2.09,,,
MTR,Mantra Group Limited,Consumer Discretionary,"1,168,900,000",0.07,,,
MTS,Metcash Limited,Consumer Staples,"3,053,760,000",0.18,,,
MYO,Myob Group Limited,Information Technology,"1,844,030,000",0.11,,,
MYX,Mayne Pharma Limited,Health Care,"1,128,750,000",0.07,,,
NAB,National Aust. Bank,Financials,"77,576,200,000",4.64,,,
NAN,Nanosonics Limited,Health Care,"769,294,000",0.05,,,
NCM,Newcrest Mining,Materials,"15,011,300,000",0.9,,,
NEC,Nine Entertainment,Consumer Discretionary,"1,978,020,000",0.12,,,
NHF,Nib Holdings Limited,Financials,"2,901,940,000",0.17,,,
NSR,National Storage Stapled Security FP,Real Estate,"877,798,000",0.05,,,
NST,Northern Star,Materials,"3,787,920,000",0.23,,,
NUF,Nufarm Limited,Materials,"2,768,210,000",0.17,,,
NVT,Navitas Limited,Consumer Discretionary,"1,776,630,000",0.11,,,
NWS,News Corp Class B Voting Common Stock-Cdi,Consumer Discretionary,"998,307,000",0.06,,,
NXT,NEXTDC Limited,Information Technology,"1,879,160,000",0.11,,,
OML,Ooh!Media Limited,Consumer Discretionary,"757,032,000",0.05,,,
ORA,Orora Limited,Materials,"3,982,060,000",0.24,,,
